Using configfile tools/sidid/sidid.cfg
--- SIDId engine classification for HVSC #85 (hvsc85/).
--- generator: tools/sidid (upstream cadaver/sidid @ ee92b8d96d9dda6d06d24674740577ddcbfe4f79 2026-07-14), SIDId V1.09,
---   PATCHED to not truncate paths at 56 chars -- see tools/sidid_no_truncate.patch.
DEMOS/A-F/Creepin_Death.sid                              MoN/FutureComposer
DEMOS/A-F/Creepy.sid                                     Soundmonitor
DEMOS/A-F/Crestfallen.sid                                DMC
DEMOS/A-F/Croak.sid                                      GoatTracker_V2.x
DEMOS/A-F/Crockets_Amiga.sid                             Soundmonitor
DEMOS/A-F/Crocketts_Theme.sid                            MoN/FutureComposer
DEMOS/A-F/Cross-Tune.sid                                 DMC
DEMOS/A-F/Cross_Intro.sid                                MoN/FutureComposer
DEMOS/A-F/Crowcastle_pic_2.sid                           Music_Assembler
DEMOS/A-F/Crowd.sid                                      PollyTracker
DEMOS/A-F/Cruft_Music_V4.sid                             Soundmonitor
DEMOS/A-F/Crystal_Sids.sid                               DefleMask_v12
DEMOS/A-F/Crystaliczna_Owca_1.sid                        Music_Assembler
DEMOS/A-F/Cuddle_in_the_Shuttle.sid                      GoatTracker_V2.x
DEMOS/A-F/Daehmon_2.sid                                  GoatTracker_V2.x
DEMOS/A-F/Damn_Fine_Digi.sid                             Digi-Organizer
DEMOS/A-F/Dance_Mix.sid                                  C64_Speech_System
DEMOS/A-F/Dance_at_Night_Remix.sid                       Soundmonitor
DEMOS/A-F/Dancing_with_SID.sid                           GoatTracker_V2.x
DEMOS/A-F/Danger.sid                                     DMC
DEMOS/A-F/Daniel.sid                                     Master_Composer
DEMOS/A-F/Danmaku_of_Emotions.sid                        DefleMask_v12
DEMOS/A-F/Danzen.sid                                     RoMuzak_V6.x
DEMOS/A-F/Dark_One.sid                                   Electrosound
DEMOS/A-F/Dark_Portal.sid                                SidTracker64
DEMOS/A-F/Darkness.sid                                   GoatTracker_V2.x
DEMOS/A-F/Datasette_Meltdown.sid                         John_Player
DEMOS/A-F/Datatanten_Strikes_Back.sid                    GoatTracker_V2.x
DEMOS/A-F/Datatanten_Theme.sid                           GoatTracker_V2.x
DEMOS/A-F/Daylight.sid                                   JCH_NewPlayer
DEMOS/A-F/Death_01.sid                                   Music_Assembler
DEMOS/A-F/Deaths_First.sid                               Electrosound
DEMOS/A-F/Deblin_01.sid                                  HardTrack_Composer
DEMOS/A-F/Debut_and_Credit.sid                           SidFactory_II/Laxity
DEMOS/A-F/Deinonychus_01.sid                             DMC
DEMOS/A-F/Delta.sid                                      Soundmonitor
DEMOS/A-F/Delta_Mix-E-Load_Mix.sid                       Rob_Hubbard
DEMOS/A-F/Deluxe_Notemaker_V1_0_tune_6.sid               MoN/FutureComposer
DEMOS/A-F/Demented_Mind.sid                              Hermit/SidWizard_V1.x
DEMOS/A-F/Demi-Demo_4.sid                                Digi-Organizer
DEMOS/A-F/Demo_I.sid                                     Soundmonitor
DEMOS/A-F/Demotune_II.sid                                Soundmonitor
DEMOS/A-F/Der_Fuhrers_Face.sid                           Master_Composer
DEMOS/A-F/Desant_Trampek.sid                             DMC
DEMOS/A-F/Desole.sid                                     GoatTracker_V2.x
DEMOS/A-F/Destroy_Nazis.sid                              Soundmonitor
DEMOS/A-F/Destroy_part_4.sid                             MoN/FutureComposer
DEMOS/A-F/Deus_Ex-Unatco.sid                             Hermit/SidWizard_V1.x
DEMOS/A-F/Deutschland_Nationalhymne_BASIC.sid            Basic_Program
DEMOS/A-F/Deutschlandlied.sid                            Soundmonitor
DEMOS/A-F/Deutschlandlied_2_BASIC.sid                    Basic_Program
DEMOS/A-F/Deutschlandlied_BASIC.sid                      Basic_Program
DEMOS/A-F/Devils_ReSIDence_3SID.sid                      Hermit/SidWizard_V1.x
DEMOS/A-F/Dick_Is_Standing_on_Carola.sid                 GoatTracker_V2.x
DEMOS/A-F/Difficult.sid                                  MoN/FutureComposer
DEMOS/A-F/Dig_Diz.sid                                    Olav_Moerkrid
DEMOS/A-F/Diggi_Boost.sid                                Soundmonitor
DEMOS/A-F/Digi_Music_1.sid                               Digi-Organizer
DEMOS/A-F/Digi_Music_V2.sid                              Soundmonitor
DEMOS/A-F/Digi_Panth_1.sid                               Champ_Digi
DEMOS/A-F/Digi_Panth_2.sid                               Ariston
DEMOS/A-F/Dildo.sid                                      Antony_Crowther_V3
DEMOS/A-F/Ding_Dong_Bells_BASIC.sid                      Basic_Program
DEMOS/A-F/Dinner_for_2.sid                               D.A.I.S.Y.
DEMOS/A-F/Disco_Fever.sid                                SoedeSoft
DEMOS/A-F/Disco_Rap.sid                                  MoN/FutureComposer
DEMOS/A-F/Disco_Sux.sid                                  DMC
DEMOS/A-F/Disco_Time.sid                                 Reflextracker
DEMOS/A-F/Disky_01.sid                                   MoN/FutureComposer
DEMOS/A-F/Dismembered.sid                                DMC
DEMOS/A-F/Dive.sid                                       Soundmonitor
DEMOS/A-F/Diving_into_You.sid                            Hermit/SidWizard_V1.x
DEMOS/A-F/Dixie_on_My_Mind.sid                           Master_Composer
DEMOS/A-F/Dizzy_Miss_Lizzy.sid                           Master_Composer
DEMOS/A-F/DnB64.sid                                      CyberTracker
DEMOS/A-F/Doctor_Who-The_Visidation.sid                  GoatTracker_V2.x
DEMOS/A-F/Dodo.sid                                       GoatTracker_V2.x
DEMOS/A-F/Doerrterror.sid                                OmegaSupreme_Digi
DEMOS/A-F/Dominators_Demo.sid                            Soundmonitor
DEMOS/A-F/Dont_Die.sid                                   MoN/FutureComposer
DEMOS/A-F/Dont_Hesitate_tune_2.sid                       MoN/FutureComposer
DEMOS/A-F/Dont_Hesitate_tune_3.sid                       MoN/FutureComposer
DEMOS/A-F/Dont_Tell_Me_You_Love_Me.sid                   Master_Composer
DEMOS/A-F/Dont_You.sid                                   MoN/FutureComposer
DEMOS/A-F/Dont_You_Want_Me.sid                           GoatTracker_V1.x
DEMOS/A-F/Dopocalino_tune_4.sid                          Soundmonitor
DEMOS/A-F/Dorabian_Night.sid                             Soundmonitor
DEMOS/A-F/Dossier_Demo_tune_1.sid                        Soundmonitor
DEMOS/A-F/Dossier_Demo_tune_2.sid                        Ubik's_Musik
DEMOS/A-F/Double_Trouble.sid                             Music_Assembler
DEMOS/A-F/Downtown.sid                                   Master_Composer
DEMOS/A-F/Dr_Dick_E-Rotic.sid                            DMC
DEMOS/A-F/Dr_Doom_01.sid                                 Music_Assembler
DEMOS/A-F/Dr_Who_Signature_Tune.sid                      Master_Composer
DEMOS/A-F/Dragons_Lair_Demo.sid                          Antony_Crowther_V2
DEMOS/A-F/Drapsmann.sid                                  MoN/FutureComposer
DEMOS/A-F/Draught_by_Flood.sid                           Music_Assembler
DEMOS/A-F/Dream_5_intro.sid                              Music_Assembler
DEMOS/A-F/Dreamland_intro.sid                            SoedeSoft
DEMOS/A-F/Dreamtime_tune_6.sid                           DMC
DEMOS/A-F/Dreamtime_tune_7.sid                           MoN/FutureComposer
DEMOS/A-F/Driller_Drums.sid                              Martin_Galway_Digi
DEMOS/A-F/Driller_Remix.sid                              MoN/FutureComposer
DEMOS/A-F/Drink_Twice.sid                                Rob_Hubbard
DEMOS/A-F/Drinking_Battery_Juice.sid                     GoatTracker_V2.x
DEMOS/A-F/Driver.sid                                     GoatTracker_V1.x
DEMOS/A-F/Drone_City.sid                                 GoatTracker_V2.x
DEMOS/A-F/Dropkick.sid                                   DefleMask_v12
DEMOS/A-F/Druk_Bezig.sid                                 DMC
DEMOS/A-F/Drumm_Action.sid                               Georg_Brandt/Rhythm_CS
DEMOS/A-F/Dublesprit.sid                                 MoN/FutureComposer
DEMOS/A-F/Duga_3.sid                                     GoatTracker_V2.x
